hashtag,link,tweet
@policia,https://twitter.com/CIGRONAS/status/1041305327134822406,"@coresglaiat @KarlGreenGC @agustinddm @jusapolaragon @gallifantes @jusapol @guardiacivil @policia No me extraña que haya tantos «aspirantes». Sale gratis traficar, violar en grupo y saltarse controles de tráfico con resultado de muerte.Y sigues cobrando."
@policia,https://twitter.com/beticoteletexto/status/1041305113346891778,@EmergenciasSev @policia @Ayto_Sevilla @SubdeGobSevilla Tan difícil es sentirse libres y protegidos a la vez. Esperemos y deseemos que esto no sea pan para un día...
@policia,https://twitter.com/E36898597/status/1041305108221444097,@policia Que buen trabajo hacéis enhorabuena por esa lucha día a dia
@policia,https://twitter.com/marinomazo/status/1041305025417494529,"@DCACHEORQUESTA @DianaMi16292759 @CaYda2504 @juc3101 @FranchinoDaniel @mmalbahi @jamesgimenes @Marcela72571846 @AUGC_LasPalmas @policia @CGPCanaria @CaliCultura @EUombudsman @CoE_HRightsRLaw @TJagland @CommissionerHR @UNHumanRights @EURightsAgency Saludos, buen fin de semana para todos"
@policia,https://twitter.com/msmoviedo/status/1041305002227249152,@eugenia_sm @policia @guardiacivil @benemeritosGC @CasoAislado_Es @ClavedeSole @fundjoseantonio @CooficialidadNo Espero que paguen por esto esos malnacidos hijos de mil padres.
@policia,https://twitter.com/danimatifer/status/1041304939077742593,@policia @Paulaggodino impresionante. Un ejemplo a seguir.. Felicitaciones
@policia,https://twitter.com/SebasPvP2/status/1041304572185194496,"@policia Uy, que miedo.

Es broma. Ya hay usuarios que han trolleado a otros. Pero lamentablemente no se como se llaman. https://t.co/7F04RDUBt4"
@policia,https://twitter.com/JoanArtes1970/status/1041304513704026112,"@jestevezq #Filoterrorismo  en estado puro. 

¿Enaltecimiento del #Terrorismo?

@guardiacivil @policia"
@policia,https://twitter.com/2002conchi1/status/1041304415142137856,"@RogueOne00 @PAU2_Alicante @policialocalalc @policia @jrgonzalezgonza @PepRubio1 @pascual_prz @pavoneualacant @NatxoBellido @VicenteBuades @evimas @aracelipoblador Pondremos una foto suya, señora, para hablar del problema de la prostitución en España y del tráfico de órganos. Pero tampoco se de por aludida, eh señora, que la cosa no va con usted"
@policia,https://twitter.com/nilix/status/1041304298104057856,"@_Chule_74 .@mossos no es policía, cc .@guardiacivil .@policia .@EMADmde"
@policia,https://twitter.com/H34V3N87/status/1041304279762563073,@lionlolleo_leo @policia Ver una película de ciencia-ficción.
@policia,https://twitter.com/entretiniebla/status/1041304262351970304,@eugenia_sm @fundjoseantonio @policia @guardiacivil @benemeritosGC @CasoAislado_Es @ClavedeSole @CooficialidadNo Se podria caer
@policia,https://twitter.com/agustinjlsa/status/1041304204709642240,@michelledevon2 @policia @guardiacivil Recomiendo su libro SANGRE SUDOR Y PAZ. El que lo lea y no sienta orgullo no está vivo. Y sobre todo sorprende leer los párrafos que dedica a Garzón y Marlaska!  Como hemos cambiado. ...
@policia,https://twitter.com/Spartancanal/status/1041304069359513601,@elconfidencial No entiendo porque siguen actuando en las calles los politicos de los @mossos  y no les dan plenas competencias a @policia  y @guardiacivil
@policia,https://twitter.com/beticoteletexto/status/1041303986199031809,@EmergenciasSev @policia @Ayto_Sevilla @SubdeGobSevilla Esperamos y deseamos que no sean para un par de días
@policia,https://twitter.com/BatshuRoy/status/1041303862706098176,"@DaniSoulBlack @albertmones @policia Para que una constitución sea efectiva, el pueblo tiene que adherirse a ella. Creo que ya está todo dicho."
@policia,https://twitter.com/LauraFangs/status/1041303827029348354,"@Leonard24198 @324cat @policia @guardiacivil @jusapol Mire, estoy cansada de leer tonterías. Vaya usted a donde le aguanten, estimado facha.

Yo me voy a comer. Unas croquetas deliciosas, no como las que engullen ordinariamente."
@policia,https://twitter.com/RogueOne00/status/1041303362736713728,"@2002conchi1 @PAU2_Alicante @policialocalalc @policia @jrgonzalezgonza @PepRubio1 @pascual_prz @pavoneualacant @NatxoBellido @VicenteBuades @evimas @aracelipoblador No se identifica a nadie en la foto, señora. Es una foto que han usado para denunciar una situación. No se den por aludidos quienes nada tengan que ocultar."
@policia,https://twitter.com/AunCLICdelasTIC/status/1041303287172083712,"Entre las innovaciones en #emergencias destacan los #drones: tendrán un papel importante en labores de búsqueda, reconocimiento, rescate y auxilio directo al ciudadano https://t.co/cm6G224NLU @pabloguti3rr3z 
cc @policia @guardiacivil @alertcops @GcTutor"
@policia,https://twitter.com/michelledevon2/status/1041303117881663490,@agustinjlsa @policia @guardiacivil Lo del Coronel Corbí no tiene nombre. 😡😡😡
